"","w1","w2","w3","N"
"720","was","delicious","pperiod",1
"721","delicious","pperiod","eend",1
"722","of","course","pperiod",1
"723","course","pperiod","i",1
"724","pperiod","i","told",1
"725","i","told","you",1
"726","told","you","ginseng",1
"727","you","ginseng","tea",1
"728","ginseng","tea","is",1
"729","tea","is","my",1
"730","is","my","favorite",1
"731","well","ccomma","there",1
"732","there","is","news",1
"733","is","news","ccomma",1
"734","news","ccomma","prince",1
"735","zuko","ccomma","but",1
"736","but","you","might",1
"737","you","might","not",1
"738","might","not","like",1
"739","not","like","it",1
"740","it","pperiod","don't",1
"741","pperiod","don't","get",1
"742","don't","get","too",1
"743","get","too","upset",1
"744","too","upset","pperiod",1
"745","upset","pperiod","eend",1
"746","sstart","sstart","okay",1
"747","sstart","okay","ccomma",1
"748","okay","ccomma","then",1
"749","ccomma","then","ppause",1
"750","then","ppause","we",1
"751","ppause","we","have",1
"752","we","have","no",1
"753","have","no","idea",1
"754","no","idea","where",1
"755","idea","where","he",1
"756","where","he","is",1
"757","sstart","you","really",1
"758","you","really","should",1
"759","really","should","open",1
"760","should","open","a",1
"761","open","a","window",1
"762","a","window","in",1
"763","window","in","here",1
"764","in","here","pperiod",1
"765","sstart","there","have",1
"766","there","have","been",1
"767","have","been","multiple",1
"768","been","multiple","sightings",1
"769","multiple","sightings","of",1
"770","sightings","of","the",1
"771","of","the","avatar",1
"772","avatar","ccomma","but",1
"773","ccomma","but","he",1
"774","but","he","is",1
"775","he","is","impossible",1
"776","is","impossible","to",1
"777","impossible","to","track",1
"778","to","track","down",1
"779","track","down","pperiod",1
"780","are","you","going",1
"781","you","going","to",1
"782","going","to","finish",1
"783","to","finish","that",1
"784","finish","that","qquestion",1
"785","that","qquestion","eend",1
"786","sstart","you","look",1
"787","you","look","tired",1
"788","look","tired","ccomma",1
"789","tired","ccomma","prince",1
"790","zuko","pperiod","why",1
"791","join","me","in",1
"792","me","in","these",1
"793","in","these","hot",1
"794","these","hot","springs",1
"795","hot","springs","and",1
"796","springs","and","soak",1
"797","and","soak","away",1
"798","soak","away","your",1
"799","away","your","troubles",1
"800","your","troubles","pperiod",1
"801","troubles","pperiod","eend",1
"802","should","take","your",1
"803","take","your","teacher's",1
"804","your","teacher's","advice",1
"805","teacher's","advice","and",1
"806","advice","and","relax",1
"807","and","relax","a",1
"808","relax","a","little",1
"809","a","little","pperiod",1
"810","little","pperiod","the",1
"811","pperiod","the","temperature's",1
"812","the","temperature's","just",1
"813","temperature's","just","right",1
"814","just","right","pperiod",1
"815","right","pperiod","i",1
"816","pperiod","i","heated",1
"817","i","heated","it",1
"818","heated","it","myself",1
"819","it","myself","pperiod",1
"820","myself","pperiod","eend",1
"821","sstart","sstart","ahhhh",1
"822","sstart","ahhhh","eexclamation",1
"823","ahhhh","eexclamation","eend",1
"824","sstart","uh","qquestion",1
"825","uh","qquestion","who's",1
"826","qquestion","who's","there",1
"827","who's","there","qquestion",1
"828","there","qquestion","eend",1
"829","sstart","sstart","a",1
"830","sstart","a","meadow",1
"831","a","meadow","vole",1
"832","meadow","vole","eexclamation",1
"833","vole","eexclamation","i",1
"834","eexclamation","i","should",1
"835","i","should","have",1
"836","should","have","known",1
"837","have","known","pperiod",1
"838","known","pperiod","you",1
"839","pperiod","you","startled",1
"840","you","startled","me",1
"841","startled","me","ccomma",1
"842","me","ccomma","little",1
"843","ccomma","little","one",1
"844","little","one","pperiod",1
"845","one","pperiod","ehh",1
"846","pperiod","ehh","ccomma",1
"847","ehh","ccomma","seems",1
"848","ccomma","seems","i've",1
"849","seems","i've","dozed",1
"850","i've","dozed","off",1
"851","dozed","off","and",1
"852","off","and","missed",1
"853","and","missed","my",1
"854","missed","my","nephew's",1
"855","my","nephew's","deadline",1
"856","nephew's","deadline","ccomma",1
"857","deadline","ccomma","but",1
"858","it","was","a",1
"859","was","a","very",1
"860","a","very","sweet",1
"861","very","sweet","nap",1
"862","sweet","nap","pperiod",1
"863","nap","pperiod","eend",1
"864","sstart","where","are",1
"865","where","are","you",1
"866","are","you","taking",1
"867","you","taking","me",1
"868","taking","me","qquestion",1
"869","sstart","sstart","right",1
"870","sstart","right","pperiod",1
"871","right","pperiod","but",1
"872","but","where","ccomma",1
"873","where","ccomma","specifically",1
"874","ccomma","specifically","qquestion",1
"875","specifically","qquestion","eend",1
"876","sstart","sstart","ah",1
"877","sstart","ah","eexclamation",1
"878","ah","eexclamation","the",1
"879","eexclamation","the","great",1
"880","the","great","city",1
"881","great","city","of",1
"882","city","of","ba",1
"883","of","ba","ddash",1
"884","sstart","i","acknowledged",1
"885","i","acknowledged","my",1
"886","acknowledged","my","defeat",1
"887","my","defeat","at",1
"888","defeat","at","ba",1
"889","at","ba","ddash",1
"890","se","eexclamation","after",1
"891","eexclamation","after","600",1
"892","after","600","days",1
"893","600","days","away",1
"894","days","away","from",1
"895","away","from","home",1
"896","from","home","ccomma",1
"897","home","ccomma","my",1
"898","ccomma","my","men",1
"899","my","men","were",1
"900","men","were","tired",1
"901","were","tired","and",1
"902","tired","and","i",1
"903","and","i","was",1
"904","i","was","tired",1
"905","was","tired","ccomma",1
"906","tired","ccomma","and",1
"907","ccomma","and","i'm",1
"908","and","i'm","still",1
"909","i'm","still","tired",1
"910","still","tired","pperiod",1
"911","tired","pperiod","eend",1
"912","sstart","sstart","nothing",1
"913","sstart","nothing","pperiod",1
"914","nothing","pperiod","actually",1
"915","pperiod","actually","ccomma",1
"916","actually","ccomma","there",1
"917","is","a","bit",1
"918","problem","pperiod","my",1
"919","pperiod","my","old",1
"920","my","old","joints",1
"921","old","joints","are",1
"922","joints","are","feeling",1
"923","are","feeling","sore",1
"924","feeling","sore","and",1
"925","sore","and","achy",1
"926","and","achy","and",1
"927","achy","and","these",1
"928","and","these","shackles",1
"929","these","shackles","are",1
"930","shackles","are","too",1
"931","are","too","loose",1
"932","too","loose","pperiod",1
"933","loose","pperiod","eend",1
"934","right","pperiod","the",1
"935","pperiod","the","cuffs",1
"936","the","cuffs","are",1
"937","cuffs","are","loose",1
"938","are","loose","and",1
"939","loose","and","they",1
"940","and","they","jangle",1
"941","they","jangle","around",1
"942","jangle","around","and",1
"943","around","and","bump",1
"944","and","bump","my",1
"945","bump","my","wrists",1
"946","my","wrists","pperiod",1
"947","wrists","pperiod","it",1
"948","pperiod","it","would",1
"949","it","would","help",1
"950","would","help","me",1
"951","help","me","if",1
"952","me","if","you",1
"953","if","you","would",1
"954","you","would","tighten",1
"955","would","tighten","them",1
"956","tighten","them","so",1
"957","them","so","they",1
"958","so","they","wouldn't",1
"959","they","wouldn't","shake",1
"960","wouldn't","shake","around",1
"961","shake","around","so",1
"962","around","so","much",1
"963","so","much","pperiod",1
"964","much","pperiod","eend",1
"965","sstart","excellent","form",1
"966","excellent","form","ccomma",1
"967","form","ccomma","prince",1
"968","uh","ccomma","that's",1
"969","ccomma","that's","true",1
"970","that's","true","ccomma",1
"971","true","ccomma","but",1
"972","but","you","are",1
"973","you","are","clearly",1
"974","are","clearly","outmatched",1
"975","clearly","outmatched","eexclamation",1
"976","outmatched","eexclamation","eend",1
"977","sstart","sstart","sailing",1
"978","sstart","sailing","into",1
"979","sailing","into","fire",1
"980","into","fire","nation",1
"981","fire","nation","waters",1
"982","nation","waters","ppause",1
"983","waters","ppause","of",1
"984","ppause","of","all",1
"985","of","all","the",1
