"","w1","w2","w3","N"
"738","sstart","ahh","eexclamation",2
"739","you","tell","us",2
"740","qquestion","and","why",2
"741","what","is","that",2
"742","that","thing","qquestion",2
"743","right","pperiod","and",2
"744","sstart","don't","answer",2
"745","qquestion","he","was",2
"746","i","think","i've",2
"747","pperiod","i'm","going",2
"748","ccomma","no","ppause",2
"749","no","ppause","i",2
"750","ppause","i","am",2
"751","pperiod","that","was",2
"752","what","is","this",2
"753","can't","fly","pperiod",2
"754","fly","pperiod","eend",2
"755","sstart","great","pperiod",2
"756","a","waterbender","ccomma",2
"757","long","pperiod","eend",2
"758","ccomma","it's","important",2
"759","water","tribe","ccomma",2
"760","ccomma","how","can",2
"761","the","war","ccomma",2
"762","to","be","the",2
"763","no","potty","breaks",2
"764","breaks","pperiod","eend",2
"765","sstart","okay","ppause",2
"766","right","now","eexclamation",2
"767","what's","wrong","with",2
"768","wrong","with","you",2
"769","with","you","qquestion",2
"770","kidding","ccomma","right",2
"771","i","knew","it",2
"772","it","eexclamation","you",2
"773","sstart","sstart","aha",2
"774","sstart","aha","eexclamation",2
"775","away","from","the",2
"776","qquestion","we","can't",2
"777","sstart","get","out",2
"778","sstart","where","do",2
"779","where","do","you",2
"780","you're","going","qquestion",2
"781","going","qquestion","eend",2
"782","sstart","let's","see",2
"783","pperiod","thanks","for",2
"784","katara","ccomma","i",2
"785","katara","eexclamation","are",2
"786","eexclamation","are","you",2
"787","pperiod","we're","going",2
"788","going","to","save",2
"789","gran","pperiod","eend",2
"790","out","of","my",2
"791","sstart","sstart","up",2
"792","was","it","that",2
"793","qquestion","uh","ppause",2
"794","he's","flying","eexclamation",2
"795","sstart","sstart","got",2
"796","sstart","got","it",2
"797","katara","eexclamation","eend",2
"798","just","a","guy",2
"799","yip","yip","eexclamation",2
"800","yip","eexclamation","yip",2
"801","sstart","sstart","i'd",2
"802","get","it","off",2
"803","it","off","eexclamation",2
"804","all","right","qquestion",2
"805","qquestion","i'm","trying",2
"806","food","pperiod","eend",2
"807","sstart","you","what",2
"808","you","what","qquestion",2
"809","sstart","so","where",2
"810","get","something","to",2
"811","something","to","eat",2
"812","to","eat","qquestion",2
"813","eat","qquestion","eend",2
"814","so","ccomma","uh",2
"815","uh","ccomma","this",2
"816","ccomma","check","this",2
"817","check","this","out",2
"818","sstart","we","should",2
"819","pperiod","you","can't",2
"820","you","have","a",2
"821","that's","it","qquestion",2
"822","meat","qquestion","eend",2
"823","believe","in","that",2
"824","in","that","stuff",2
"825","you","were","a",2
"826","met","pperiod","eend",2
"827","make","a","sound",2
"828","'em","pperiod","eend",2
"829","sstart","not","if",2
"830","if","i","get",2
"831","sstart","sstart","oof",2
"832","oof","eexclamation","eend",2
"833","oh","ccomma","man",2
"834","ppause","come","on",2
"835","on","ccomma","aang",2
"836","all","right","pperiod",2
"837","pperiod","let's","get",2
"838","let's","get","out",2
"839","sstart","katara","and",2
"840","katara","and","i",2
"841","aren't","going","to",2
"842","to","you","pperiod",2
"843","promise","pperiod","eend",2
"844","have","no","idea",2
"845","where","you're","going",2
"846","do","you","qquestion",2
"847","i","guess","we're",2
"848","was","just","kidding",2
"849","eexclamation","i","can't",2
"850","ccomma","that","was",2
"851","pperiod","still","ccomma",2
"852","all","the","work",2
"853","the","work","pperiod",2
"854","sstart","there's","something",2
"855","well","ccomma","let's",2
"856","pperiod","time","to",2
"857","hit","the","road",2
"858","the","road","pperiod",2
"859","road","pperiod","eend",2
"860","or","we","could",2
"861","who","are","you",2
"862","are","you","qquestion",2
"863","bunch","of","girls",2
"864","us","down","pperiod",2
"865","ppause","this","is",2
"866","this","is","tasty",2
"867","tasty","pperiod","eend",2
"868","didn't","mean","to",2
"869","ccomma","but","seeing",2
"870","make","an","exception",2
"871","an","exception","pperiod",2
"872","don't","feel","bad",2
"873","feel","bad","pperiod",2
"874","pperiod","after","all",2
"875","ccomma","i'm","the",2
"876","oh","ppause","well",2
