"","w1","w2","w3","N"
"867","you","want","to",2
"868","you're","going","to",2
"869","over","and","over",2
"870","this","is","about",2
"871","and","how","do",2
"872","pperiod","but","this",2
"873","island","pperiod","eend",2
"874","pperiod","there","pperiod",2
"875","sstart","sstart","go",2
"876","sstart","go","ahead",2
"877","sstart","sstart","she's",2
"878","sstart","she's","not",2
"879","not","going","to",2
"880","to","make","it",2
"881","did","pperiod","eend",2
"882","make","it","up",2
"883","it","up","to",2
"884","but","i","want",2
"885","your","mother","pperiod",2
"886","of","the","southern",2
"887","ccomma","sokka","pperiod",2
"888","sstart","you","should",2
"889","we'll","be","there",2
"890","ccomma","katara","pperiod",2
"891","face","him","qquestion",2
"892","you","don't","remember",2
"893","my","father","qquestion",2
"894","play","pperiod","eend",2
"895","comet","is","only",2
"896","are","you","all",2
"897","you","all","looking",2
"898","all","looking","at",2
"899","looking","at","me",2
"900","before","the","comet",2
"901","energy","in","your",2
"902","sstart","no","eexclamation",2
"903","about","her","ccomma",2
"904","what","if","he",2
"905","on","the","right",2
"906","sstart","finally","pperiod",1
"907","finally","pperiod","uncle",1
"908","pperiod","uncle","ccomma",1
"909","uncle","ccomma","do",1
"910","ccomma","do","you",1
"911","do","you","realize",1
"912","you","realize","what",1
"913","realize","what","this",1
"914","what","this","means",1
"915","this","means","qquestion",1
"916","means","qquestion","eend",1
"917","sstart","it","means",1
"918","it","means","my",1
"919","means","my","search",1
"920","my","search","ddash",1
"921","search","ddash","it's",1
"922","ddash","it's","about",1
"923","about","to","come",1
"924","to","come","to",1
"925","to","an","end",1
"926","an","end","pperiod",1
"927","sstart","that","light",1
"928","that","light","came",1
"929","light","came","from",1
"930","came","from","an",1
"931","from","an","incredibly",1
"932","an","incredibly","powerful",1
"933","incredibly","powerful","source",1
"934","powerful","source","pperiod",1
"935","source","pperiod","it",1
"936","pperiod","it","has",1
"937","it","has","to",1
"938","to","be","him",1
"939","be","him","eexclamation",1
"940","don't","need","any",1
"941","need","any","calming",1
"942","any","calming","tea",1
"943","calming","tea","eexclamation",1
"944","tea","eexclamation","i",1
"945","to","capture","the",1
"946","avatar","pperiod","helmsman",1
"947","pperiod","helmsman","ccomma",1
"948","helmsman","ccomma","head",1
"949","ccomma","head","a",1
"950","a","course","for",1
"951","course","for","the",1
"952","for","the","light",1
"953","the","light","eexclamation",1
"954","light","eexclamation","eend",1
"955","sstart","because","their",1
"956","because","their","honor",1
"957","their","honor","didn't",1
"958","honor","didn't","hinge",1
"959","didn't","hinge","on",1
"960","hinge","on","the",1
"961","the","avatar's","capture",1
"962","avatar's","capture","pperiod",1
"963","capture","pperiod","mine",1
"964","pperiod","mine","does",1
"965","mine","does","pperiod",1
"966","does","pperiod","this",1
"967","pperiod","this","coward's",1
"968","this","coward's","hundred",1
"969","coward's","hundred","years",1
"970","hundred","years","in",1
"971","years","in","hiding",1
"972","in","hiding","are",1
"973","hiding","are","over",1
"974","are","over","pperiod",1
"975","sstart","ha","eexclamation",1
"976","ha","eexclamation","heeya",1
"977","eexclamation","heeya","eexclamation",1
"978","heeya","eexclamation","eend",1
"979","sstart","enough","pperiod",1
"980","enough","pperiod","i've",1
"981","i've","been","drilling",1
"982","been","drilling","this",1
"983","drilling","this","sequence",1
"984","this","sequence","all",1
"985","sequence","all","day",1
"986","day","pperiod","teach",1
"987","pperiod","teach","me",1
"988","me","the","next",1
"989","the","next","set",1
